## SPL DATA
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
11200	116.016	117.865	115.452	112.873	117.249	114.238	115.788	117.344	116.184	114.734	113.947	116.771	117.189	113.565	116.086	115.283	115.594	117.709	115.793	116.165	114.361
11800	110.721	112.754	109.531	108.183	111.788	109.759	108.975	110.529	110.861	108.745	109.573	111.34	109.271	104.759	109.833	106.067	109.397	110.352	109.292	111.62	107.716
12500	107.964	108.793	106.276	105.617	108.185	107.092	105.333	106.116	107.3	105.5	107.058	107.343	103.977	101.467	106.089	101.719	105.758	105.551	105.897	108.138	104.626
13200	107.148	107.168	105.357	105.212	106.566	106.527	104.546	105.4	105.857	104.782	106.225	105.957	103.028	102.092	105.185	102.385	105.175	104.612	105.269	106.042	104.526
14000	108.69	107.829	106.587	105.982	107.372	107.034	106.341	106.751	106.889	106.215	106.89	107.718	105.463	105.234	107.187	105.493	107.406	107.193	107.362	106.069	106.995
15000	113.455	112.464	111.262	110.457	112.512	111.341	112.948	112.402	111.984	112.208	111.509	112.095	112.571	113.554	112.785	113.479	112.592	114.009	113.179	109.858	112.622
16000	108.644	107.256	106.303	105.524	107.404	106.548	107.971	107.435	106.555	107.17	106.297	107.395	107.8	108.712	107.587	108.336	107.897	109.287	108.488	105.342	107.735
17000	101.343	99.409	99.406	98.556	100.02	98.438	100.832	100.575	99.369	99.72	98.357	99.822	102.324	103.715	100.63	103.356	101.104	102.931	101.64	96.602	100.894
18000	99.455	97.542	98.63	99.601	98.385	96.94	99.468	99.366	99.153	98.171	97.873	98.128	101.676	103.4	99.139	103.118	99.451	101.113	99.885	95.079	99.562
19000	104.002	102.26	103.576	106.052	102.625	101.81	104.685	103.497	103.151	103.294	103.8	102.256	105.219	106.785	103.372	106.713	103.33	104.098	103.226	100.737	103.695
20000	104.655	103.179	103.737	107.407	102.428	102.608	104.468	102.888	102.308	103.723	104.493	102.341	104.044	105.258	102.992	105.325	102.961	103.11	102.478	102.508	103.227

## IMP
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
20	30.506	31.246	31.315	31.182	31.134	31.139	31.245	31.21	31.172	31.175	31.154	31.203	31.26	31.219	31.182	31.223	31.22	31.206	31.201	31.191	31.266
21.2	30.536	31.249	31.167	31.226	31.169	31.146	31.211	31.192	31.223	31.204	31.197	31.244	31.297	31.26	31.221	31.269	31.259	31.229	31.235	31.229	31.293
22.4	30.575	31.261	31.168	31.245	31.194	31.183	31.237	31.196	31.241	31.225	31.195	31.248	31.346	31.274	31.233	31.287	31.278	31.261	31.248	31.245	31.32
23.6	30.573	31.266	31.175	31.264	31.216	31.208	31.259	31.208	31.224	31.243	31.23	31.281	31.35	31.299	31.255	31.314	31.304	31.28	31.274	31.243	31.337
25	30.582	31.34	31.203	31.286	31.236	31.224	31.279	31.242	31.242	31.262	31.242	31.316	31.355	31.329	31.278	31.338	31.332	31.319	31.286	31.253	31.361
26.5	30.597	31.35	31.219	31.323	31.265	31.244	31.304	31.261	31.259	31.278	31.264	31.318	31.378	31.363	31.294	31.357	31.338	31.348	31.333	31.284	31.416
28	30.621	31.359	31.248	31.34	31.293	31.257	31.321	31.287	31.294	31.302	31.28	31.352	31.394	31.375	31.326	31.382	31.366	31.356	31.352	31.314	31.448
30	30.638	31.377	31.281	31.392	31.331	31.304	31.378	31.319	31.32	31.337	31.334	31.387	31.439	31.43	31.345	31.429	31.409	31.38	31.376	31.336	31.518
31.5	30.657	31.422	31.311	31.44	31.368	31.33	31.387	31.344	31.339	31.367	31.362	31.414	31.458	31.459	31.383	31.46	31.434	31.421	31.415	31.401	31.537
33.5	30.704	31.47	31.368	31.488	31.404	31.371	31.442	31.396	31.409	31.407	31.412	31.455	31.523	31.493	31.432	31.515	31.5	31.473	31.448	31.453	31.594
35.5	30.718	31.515	31.414	31.557	31.45	31.432	31.494	31.438	31.443	31.453	31.448	31.502	31.577	31.555	31.502	31.568	31.53	31.512	31.52	31.498	31.632
37.5	30.768	31.547	31.475	31.627	31.524	31.478	31.543	31.505	31.472	31.509	31.513	31.564	31.618	31.623	31.539	31.618	31.591	31.553	31.556	31.564	31.711
40	30.812	31.622	31.53	31.682	31.573	31.544	31.616	31.557	31.539	31.574	31.588	31.633	31.682	31.693	31.613	31.692	31.667	31.621	31.625	31.627	31.788
42.5	30.88	31.687	31.612	31.754	31.662	31.606	31.693	31.633	31.605	31.641	31.671	31.698	31.765	31.761	31.68	31.758	31.746	31.697	31.704	31.701	31.852
45	30.944	31.77	31.677	31.846	31.725	31.694	31.778	31.702	31.691	31.734	31.75	31.771	31.837	31.843	31.751	31.847	31.808	31.783	31.783	31.773	31.938
47.5	30.989	31.846	31.764	31.91	31.805	31.772	31.847	31.768	31.768	31.799	31.831	31.858	31.929	31.926	31.827	31.927	31.901	31.846	31.847	31.825	32.009
50	31.059	31.914	31.842	32.005	31.88	31.851	31.918	31.846	31.839	31.87	31.908	31.918	32.014	32.001	31.92	32.002	31.997	31.949	31.92	31.919	32.081
53	31.156	32	31.918	32.112	31.985	31.955	32.031	31.942	31.956	31.984	32.009	32.039	32.087	32.099	32.005	32.1	32.109	32.026	32.008	32.017	32.21
56	31.224	32.098	32.043	32.192	32.074	32.058	32.123	32.03	32.036	32.092	32.13	32.121	32.203	32.191	32.119	32.213	32.198	32.115	32.117	32.137	32.313
60	31.338	32.228	32.154	32.33	32.202	32.202	32.261	32.158	32.147	32.222	32.274	32.262	32.323	32.321	32.244	32.352	32.335	32.232	32.216	32.275	32.45
63	31.418	32.321	32.255	32.422	32.295	32.297	32.358	32.267	32.237	32.322	32.39	32.364	32.426	32.39	32.333	32.445	32.448	32.343	32.327	32.391	32.582
67	31.536	32.453	32.401	32.561	32.426	32.447	32.515	32.369	32.362	32.464	32.517	32.491	32.554	32.524	32.469	32.571	32.58	32.463	32.437	32.531	32.706
71	31.65	32.56	32.535	32.676	32.558	32.548	32.625	32.492	32.491	32.585	32.662	32.643	32.689	32.635	32.587	32.707	32.714	32.588	32.537	32.664	32.841
75	31.774	32.682	32.66	32.786	32.68	32.706	32.739	32.598	32.598	32.7	32.82	32.74	32.798	32.714	32.716	32.809	32.859	32.707	32.653	32.792	32.963
80	31.909	32.805	32.798	32.937	32.816	32.872	32.883	32.726	32.754	32.887	33.006	32.898	32.941	32.835	32.874	32.964	33.008	32.845	32.784	32.976	33.137
85	32.05	32.93	32.942	33.049	32.952	33.005	33.072	32.859	32.892	33.02	33.185	33.058	33.043	32.95	33.015	33.09	33.16	32.975	32.913	33.16	33.295
90	32.19	33.036	33.083	33.173	33.089	33.184	33.214	32.981	33.049	33.168	33.325	33.191	33.18	33.049	33.13	33.216	33.304	33.08	33.03	33.32	33.443
95	32.324	33.158	33.223	33.299	33.199	33.327	33.341	33.084	33.164	33.305	33.489	33.336	33.29	33.148	33.262	33.314	33.44	33.206	33.137	33.484	33.583
100	32.468	33.253	33.364	33.388	33.333	33.451	33.431	33.203	33.268	33.435	33.62	33.456	33.38	33.232	33.399	33.4	33.573	33.303	33.223	33.606	33.713
106	32.609	33.361	33.5	33.48	33.467	33.605	33.575	33.309	33.415	33.596	33.783	33.581	33.486	33.332	33.504	33.517	33.718	33.458	33.315	33.8	33.862
112	32.739	33.475	33.603	33.609	33.554	33.763	33.698	33.436	33.543	33.721	33.936	33.718	33.588	33.412	33.613	33.635	33.855	33.513	33.418	33.941	33.997
118	32.829	33.555	33.733	33.704	33.685	33.867	33.826	33.506	34.096	33.837	34.08	33.828	33.682	33.48	33.735	33.696	33.988	33.634	33.514	34.089	34.113
