## 그래프
WF																													THD																													R&B

## SET GRAPH(전체)
〔bg=#FFF2CC,b〕WF																													〔bg=#FFF2CC,b〕THD																													〔bg=#FFF2CC,b〕R&B

## SET MASK
〔bg=#E2EFDA〕WF Mask							〔bg=#E2EFDA〕THD Mask			〔bg=#E2EFDA〕RnB Crest Mask			〔bg=#E2EFDA〕FFT MASK										〔bg=#E2EFDA〕MIC MASK				〔bg=#E2EFDA〕LOOP MASK		
	REF	UP	LOW	UP	LOW			Mask			Mask			Mask			REF	UP	LOW	+	-			UP	LOW			UP	LOW
133.171949339451	133.441842417392	135.441842417392	131.441842417392	2	-2											8832.3453925324	97.0366157424838		92.0366157424838	5	-5								
135.038907545957	133.396118876044	135.396118876044	131.396118876044	2	-2											8848.58227409951	97.1845310255799		92.1845310255799	5	-5								
136.932038929037	133.350570616038	135.350570616038	131.350570616038	2	-2											8864.84900462647	97.3353969067196		92.3353969067196	5	-5								
138.851710414512	133.302749354251	135.302749354251	131.302749354251	2	-2											8881.14563898591	97.4892655919355		92.4892655919355	5	-5								
140.798294072194	133.253812483118	135.253812483118	131.253812483118	2	-2											8897.47223215134	97.6461893996295		92.6461893996295	5	-5								
142.772167187996	133.202070195208	135.202070195208	131.202070195208	2	-2											8913.82883919732	97.8062203140396		92.8062203140396	5	-5								
144.773712337063	133.15046232142	135.15046232142	131.15046232142	2	-2											8930.21551529967	97.9694095094375		92.9694095094375	5	-5								
146.803317457921	133.092966864655	135.092966864655	131.092966864655	2	-2											8946.63231573563	98.1358068190949		93.1358068190949	5	-5								
148.861375927665	133.037584497925	135.037584497925	131.037584497925	2	-2											8963.07929588406	98.3054601098986		93.3054601098986	5	-5								
150.948286638204	132.981027115119	134.981027115119	130.981027115119	2	-2											8979.55651122562	98.4784145515968		93.4784145515968	5	-5								
153.064454073576	132.918823523244	134.918823523244	130.918823523244	2	-2											8996.06401734299	98.654711810115		93.654711810115	5	-5								
155.210288388343	132.862032120676	134.862032120676	130.862032120676	2	-2											9012.60186992099	98.8343892217986		93.8343892217986	5	-5								
157.386205487087	132.802701170632	134.802701170632	130.802701170632	2	-2											9029.17012474684	99.0174790306739		94.0174790306739	5	-5								
159.592627105021	132.737096211998	134.737096211998	130.737096211998	2	-2											9045.76883771029	99.2040078021047		94.2040078021047	5	-5								
161.829980889728	132.675777706024	134.675777706024	130.675777706024	2	-2											9062.39806480387	99.3939961415988		94.3939961415988	5	-5								
164.098700484052	132.613256518601	134.613256518601	130.613256518601	2	-2											9079.05786212301	99.5874588128551		94.5874588128551	5	-5								
166.399225610141	132.542622162164	134.542622162164	130.542622162164	2	-2											9095.74828586627	99.7844052496448		94.7844052496448	5	-5								
168.732002154676	132.472494070939	134.472494070939	130.472494070939	2	-2											9112.46939233553	99.9848403270711		94.9848403270711	5	-5								
171.097482255293	132.40554087845	134.40554087845	130.40554087845	2	-2											9129.22123793616	100.188765180578		95.1887651805783	5	-5								
173.496124388215	132.334154516123	134.334154516123	130.334154516123	2	-2											9146.00387917726	100.396177893778		95.396177893778	5	-5								
175.928393457116	132.25864454495	134.25864454495	130.25864454495	2	-2											9162.81737267175	100.607073989351		95.6070739893512	5	-5								
178.394760883224	132.184543650695	134.184543650695	130.184543650695	2	-2											9179.66177513668	100.821446761525		95.8214467615246	5	-5								
180.895704696696	132.111635469107	134.111635469107	130.111635469107	2	-2											9196.53714339334	101.039287517734		96.0392875177344	5	-5								
183.431709629269	132.035627980028	134.035627980028	130.035627980028	2	-2											9213.44353436748	101.26058575133		96.2605857513295	5	-5								
186.003267208206	131.955415512243	133.955415512243	129.955415512243	2	-2											9230.38100508949	101.485329190334		96.4853291903344	5	-5								
188.610875851571	131.873232010236	133.873232010236	129.873232010236	2	-2											9247.34961269463	101.713503608165		96.7135036081655	5	-5								
191.255040964824	131.790812142899	133.790812142899	129.790812142899	2	-2											9264.34941442316	101.945092271665		96.9450922716648	5	-5								
193.936275038786	131.70784997944	133.70784997944	129.70784997944	2	-2											9281.38046762058	102.180074943455		97.1800749434547	5	-5								
196.655097748964	131.623438099895	133.623438099895	129.623438099895	2	-2											9298.44282973783	102.418426427478		97.4184264274776	5	-5								
199.412036056278	131.5373158691	133.5373158691	129.5373158691	2	-2											9315.53655833144	102.66011471456		97.6601147145603	5	-5								
202.207624309194	131.449488223155	133.449488223155	129.449488223155	2	-2											9332.66171106376	102.905098827877		97.9050988278775	5	-5								
205.042404347292	131.359820055387	133.359820055387	129.359820055387	2	-2											9349.81834570313	103.153326485048		98.1533264850484	5	-5								
207.916925606286	131.268205474829	133.268205474829	129.268205474829	2	-2											9367.0065201241	103.404731676132		98.4047316761317	5	-5								
210.831745224512	131.174763080548	133.174763080548	129.174763080548	2	-2											9384.22629230762	103.659232198021		98.6592321980211	5	-5								
