## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		VP #5	 IR241120016	20/11	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	594	0	0	0	0	15	0	15	〔fg=#FF0000〕2.5%	
		VP #7	 IR241120016	20/11	600	0	8	〔fg=#FF0000〕1.3%		〔fg=#FF0000〕0.0%	9	〔fg=#FF0000〕1.5%	586	0	0	0	0	14	2	16	〔fg=#FF0000〕2.7%	
		VP #8	 IR241120016	20/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	598	0	0	0	0	13	0	13	〔fg=#FF0000〕2.2%	
		VP #11	 IR241120016	20/11	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	563	0	0	0	0	17	3	20	〔fg=#FF0000〕3.6%	
		VP #12	 IR241120016	20/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	567	1	0	0	1	14	5	21	〔fg=#FF0000〕3.7%	
11/26/2024	C2-3B	VP #2	 IR241120016	20/11	600	2	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	595	0	0	0	0	2	2	4	〔fg=#FF0000〕0.7%	
		VP #3	 IR241120016	20/11	600	2	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	594	0	0	2	0	6	0	8	〔fg=#FF0000〕1.3%	
		VP #4	 IR241120016	20/11	600	2	8	〔fg=#FF0000〕1.3%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	581	0	0	0	0	5	0	5	〔fg=#FF0000〕0.9%	
		VP #5	 IR241120016	20/11	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	596	0	0	0	0	5	3	8	〔fg=#FF0000〕1.3%	
		VP #7	 IR241120016	20/11	600	0	13	〔fg=#FF0000〕2.2%		〔fg=#FF0000〕0.0%	17	〔bg=#BDD7EE,fg=#FF0000〕2.8%	580	0	0	0	2	8	2	12	〔fg=#FF0000〕2.1%	
		VP #8	 IR241120016	20/11	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	12	〔bg=#BDD7EE,fg=#FF0000〕2.0%	586	0	0	0	0	7	1	8	〔fg=#FF0000〕1.4%	
		VP #11	 IR241120016	20/11	600	0	12	〔fg=#FF0000〕2.0%		〔fg=#FF0000〕0.0%	12	〔bg=#BDD7EE,fg=#FF0000〕2.0%	588	0	0	0	0	6	3	9	〔fg=#FF0000〕1.5%	
		VP #12	 IR241120016	20/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	586	0	0	0	0	11	1	12	〔fg=#FF0000〕2.0%	
11/28/2024	E2-3A	VP #2	 IR241122027	22/11	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	584	0	0	1	1	9	7	18	〔fg=#FF0000〕3.1%	
		VP #3	 IR241122027	22/11	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	558	0	0	1	0	8	7	16	〔fg=#FF0000〕2.9%	
		VP #4	 IR241122027	22/11	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	599	2	0	1	0	15	0	18	〔fg=#FF0000〕3.0%	
		VP #5	 IR241122027	22/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	0	0	0	1	15	2	18	〔fg=#FF0000〕3.0%	
		VP #6	 IR241122027	22/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	589	1	0	0	0	10	5	16	〔fg=#FF0000〕2.7%	
		VP #7	 IR241122027	22/11	600	0	29	〔fg=#FF0000〕4.8%		〔fg=#FF0000〕0.0%	29	〔fg=#FF0000〕4.8%	499	1	0	1	0	6	3	11	〔fg=#FF0000〕2.2%	
		VP #8	 IR241122027	22/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	516	2	0	1	0	7	0	10	〔fg=#FF0000〕1.9%	
		VP #9	 IR241122028	22/12	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	591	1	0	0	0	9	0	10	〔fg=#FF0000〕1.7%	
		VP #10	 IR241122027	22/11	600	0	15	〔fg=#FF0000〕2.5%		〔fg=#FF0000〕0.0%	15	〔fg=#FF0000〕2.5%	584	0	0	1	0	7	4	12	〔fg=#FF0000〕2.1%	
12/2/2024	E2-3A	VP #2	 IR241127027	27/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	1	1	15	3	20	〔fg=#FF0000〕3.4%	
		VP #3	 IR241127027	27/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	593	2	0	1	0	15	0	18	〔fg=#FF0000〕3.0%	
		VP #4	 IR241127027	27/11	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	593	0	0	0	0	17	4	21	〔fg=#FF0000〕3.5%	
		VP #5	 IR241127027	27/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	0	0	1	1	15	0	17	〔fg=#FF0000〕2.9%	
		VP #7	 IR241127027	27/11	600	0	27	〔fg=#FF0000〕4.5%		〔fg=#FF0000〕0.0%	28	〔fg=#FF0000〕4.7%	536	0	0	2	0	10	6	18	〔fg=#FF0000〕3.4%	
		VP #9	 IR241127027	27/11	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	593	0	0	0	2	13	6	21	〔fg=#FF0000〕3.5%	
		VP 10	 IR241127027	27/11	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	577	0	0	0	1	12	0	13	〔fg=#FF0000〕2.3%	
		VP #11	 IR241127027	27/11	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	577	0	0	0	1	12	5	18	〔fg=#FF0000〕3.1%	
		VP #12	 IR241127027	27/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	589	0	0	1	0	16	3	20	〔fg=#FF0000〕3.4%	
12/4/2024	E2-3A	VP #2	 IR241129027	29/11	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	594	0	0	0	0	20	0	20	〔fg=#FF0000〕3.4%	
		VP #3	 IR241129027	29/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	1	0	1	0	17	0	19	〔fg=#FF0000〕3.2%	
		VP #4	 IR241129027	29/11	600	0	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	589	0	0	0	0	16	0	16	〔fg=#FF0000〕2.7%	
		VP #5	 IR241129027	29/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	599	0	0	0	0	17	0	17	〔fg=#FF0000〕2.8%	
		VP #6	 IR241129027	29/11	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	417	0	0	1	0	3	9	13	〔fg=#FF0000〕3.1%	
		VP #7	 IR241129027	29/11	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	484	0	0	0	0	6	3	9	〔fg=#FF0000〕1.9%	
		VP 19	 IR241129027	29/11	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	598	0	0	2	0	16	0	18	〔fg=#FF0000〕3.0%	
		VP #12	 IR241129027	29/11	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	596	1	0	0	1	8	0	10	〔fg=#FF0000〕1.7%	
12/9/2024	E2-3A	VP #2	 IR241204027	04/12	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	439	0	0	1	0	4	0	5	〔fg=#FF0000〕1.1%	
		VP #4	 IR241204027	04/12	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	598	0	0	1	0	14	0	15	〔fg=#FF0000〕2.5%	
		VP #5	 IR241204027	04/12	600	2	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	599	1	0	2	0	10	6	19	〔fg=#FF0000〕3.2%	
		VP #6	 IR241204027	04/12	600	1	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	575	0	0	1	0	15	0	16	〔fg=#FF0000〕2.8%	
		VP #7	 IR241204027	04/12	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	594	0	0	1	2	9	0	12	〔fg=#FF0000〕2.0%	
		VP #8	 IR241204027	04/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	594	1	0	1	2	14	0	18	〔fg=#FF0000〕3.0%	
		〔bg=#FFFF00〕VP #9	〔bg=#FFFF00〕 IR241204027	〔bg=#FFFF00〕04/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕591	〔bg=#FFFF00〕2	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕10	〔bg=#FFFF00〕10	〔bg=#FFFF00〕23	〔bg=#FFFF00,fg=#FF0000〕3.9%	
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕 IR241204027	〔bg=#FFFF00〕04/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%	〔bg=#FFFF00〕589	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕2	〔bg=#FFFF00〕21	〔bg=#FFFF00〕0	〔bg=#FFFF00〕25	〔bg=#FFFF00,fg=#FF0000〕4.2%	
12/11/2024	E2-3A	VP #2	 IR241207027	07/12	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	593	0	0	1	0	15	0	16	〔fg=#FF0000〕2.7%	
		VP #3	 IR241207027	07/12	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	599	0	0	0	2	7	4	13	〔fg=#FF0000〕2.2%	
		〔bg=#FFFF00〕VP #4	〔bg=#FFFF00〕 IR241207027	〔bg=#FFFF00〕07/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.3%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.3%	〔bg=#FFFF00〕581	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕6	〔bg=#FFFF00〕10	〔bg=#FFFF00〕19	〔bg=#FFFF00,fg=#FF0000〕3.3%	
		VP #5	 IR241207027	07/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	589	1	0	0	0	6	3	10	〔fg=#FF0000〕1.7%	
		VP #7	 IR241207027	07/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	580	2	0	0	0	16	0	18	〔fg=#FF0000〕3.1%	
		VP #8	 IR241207027	07/12	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	595	0	0	1	2	13	0	16	〔fg=#FF0000〕2.7%	
		〔bg=#FFFF00〕VP #9	〔bg=#FFFF00〕 IR241207027	〔bg=#FFFF00〕07/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕15	〔bg=#FFFF00,fg=#FF0000〕2.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕15	〔bg=#FFFF00,fg=#FF0000〕2.5%	〔bg=#FFFF00〕576	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕10	〔bg=#FFFF00〕9	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.5%	
		VP #10	 IR241207027	07/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	2	0	0	1	8	0	11	〔fg=#FF0000〕1.8%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕 IR241207027	〔bg=#FFFF00〕07/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%	〔bg=#FFFF00〕585	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕28	〔bg=#FFFF00〕0	〔bg=#FFFF00〕28	〔bg=#FFFF00,fg=#FF0000〕4.8%	
		VP #12	 IR241207027	07/12	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	600	0	0	0	0	12	0	12	〔fg=#FF0000〕2.0%	
12/16/2024	E2-3B	VP #2	 IR241211026	11/12	600	0	8	〔fg=#FF0000〕1.3%		〔fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	590	0	0	0	0	13	0	13	〔fg=#FF0000〕2.2%	
		VP #3	 IR241211026	11/12	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	583	0	0	0	0	13	0	13	〔fg=#FF0000〕2.2%	
		VP #4	 IR241211026	11/12	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	580	0	0	0	0	14	0	14	〔fg=#FF0000〕2.4%	
		VP #5	 IR241211026	11/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	583	0	0	0	0	16	0	16	〔fg=#FF0000〕2.7%	
		VP #6	 IR241211026	11/12	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	561	0	0	0	0	14	0	14	〔fg=#FF0000〕2.5%	
		〔bg=#FFFF00〕VP #7	〔bg=#FFFF00〕 IR241211026	〔bg=#FFFF00〕11/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%	〔bg=#FFFF00〕590	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕21	〔bg=#FFFF00〕0	〔bg=#FFFF00〕21	〔bg=#FFFF00,fg=#FF0000〕3.6%	
		〔bg=#FFFF00〕VP #9	〔bg=#FFFF00〕 IR241211026	〔bg=#FFFF00〕11/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%	〔bg=#FFFF00〕572	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕34	〔bg=#FFFF00〕0	〔bg=#FFFF00〕35	〔bg=#FFFF00,fg=#FF0000〕6.1%	
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕 IR241211026	〔bg=#FFFF00〕11/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕589	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕2	〔bg=#FFFF00〕22	〔bg=#FFFF00〕1	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.4%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕 IR241211026	〔bg=#FFFF00〕11/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕1	〔bg=#FFFF00〕25	〔bg=#FFFF00〕0	〔bg=#FFFF00〕27	〔bg=#FFFF00,fg=#FF0000〕4.5%	
		〔bg=#FFFF00〕VP #12	〔bg=#FFFF00〕 IR241211026	〔bg=#FFFF00〕11/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕592	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00〕2	〔bg=#FFFF00〕23	〔bg=#FFFF00,fg=#FF0000〕3.9%	
12/18/2024	E2-3B	〔bg=#FFFF00〕VP #2	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕13/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕590	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕19	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.4%	
		VP #3	 IR241213024	13/12	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	586	2	0	1	0	15	0	18	〔fg=#FF0000〕3.1%	
		〔bg=#FFFF00〕VP #4	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕13/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕21	〔bg=#FFFF00,fg=#FF0000〕3.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕21	〔bg=#FFFF00,fg=#FF0000〕3.5%	〔bg=#FFFF00〕580	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕20	〔bg=#FFFF00〕0	〔bg=#FFFF00〕23	〔bg=#FFFF00,fg=#FF0000〕4.0%	
		VP #5	 IR241213024	13/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	578	0	0	1	0	15	0	16	〔fg=#FF0000〕2.8%	
		VP #7	 IR241213024	13/12	600	0	16	〔fg=#FF0000〕2.7%		〔fg=#FF0000〕0.0%	16	〔fg=#FF0000〕2.7%	580	0	0	0	0	18	0	18	〔fg=#FF0000〕3.1%	
		〔bg=#FFFF00〕VP #9	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕13/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕29	〔bg=#FFFF00,fg=#FF0000〕4.8%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕29	〔bg=#FFFF00,fg=#FF0000〕4.8%	〔bg=#FFFF00〕586	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕19	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.4%	
		VP #10	 IR241213024	13/12	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	588	0	0	0	1	16	0	17	〔fg=#FF0000〕2.9%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕13/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕590	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕2	〔bg=#FFFF00〕23	〔bg=#FFFF00〕0	〔bg=#FFFF00〕27	〔bg=#FFFF00,fg=#FF0000〕4.6%	
		〔bg=#FFFF00〕VP #12	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕13/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕594	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.4%	
12/25/2024	E2-3B	VP #2	 IR241213024	20/12	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	595	0	0	0	0	15	0	15	〔fg=#FF0000〕2.5%	
		〔bg=#FFFF00〕VP #3	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕20/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕5	〔bg=#FFFF00,fg=#FF0000〕0.8%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕6	〔bg=#FFFF00,fg=#FF0000〕1.0%	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕21	〔bg=#FFFF00〕0	〔bg=#FFFF00〕22	〔bg=#FFFF00,fg=#FF0000〕3.7%	
		〔bg=#FFFF00〕VP #4	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕20/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕15	〔bg=#FFFF00,fg=#FF0000〕2.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕15	〔bg=#FFFF00,fg=#FF0000〕2.5%	〔bg=#FFFF00〕584	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕1	〔bg=#FFFF00〕25	〔bg=#FFFF00〕0	〔bg=#FFFF00〕28	〔bg=#FFFF00,fg=#FF0000〕4.8%	
		〔bg=#FFFF00〕VP #5	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕20/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕598	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕2	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00〕0	〔bg=#FFFF00〕24	〔bg=#FFFF00,fg=#FF0000〕4.0%	
