HZ	〔b〕OK										〔b〕편심											HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
	〔bg=#F2DCDB〕# 1	〔bg=#F2DCDB〕# 2	〔bg=#F2DCDB〕# 3	〔bg=#F2DCDB〕# 4	〔bg=#F2DCDB〕# 5	〔bg=#F2DCDB〕# 6	〔bg=#F2DCDB〕# 7	〔bg=#F2DCDB〕# 8	〔bg=#F2DCDB〕# 9	〔bg=#F2DCDB〕# 10	〔bg=#DCE6F1〕# 1	〔bg=#DCE6F1〕# 2	〔bg=#DCE6F1〕# 3	〔bg=#DCE6F1〕# 4	〔bg=#DCE6F1〕# 5	〔bg=#DCE6F1〕# 6	〔bg=#DCE6F1〕# 7	〔bg=#DCE6F1〕# 8	〔bg=#DCE6F1〕# 9	〔bg=#DCE6F1〕# 10	〔bg=#DCE6F1〕# 11	HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
190	84.58	84.086	83.844	84.429	84.85	84.088	83.906	85.001	85.172	86.007	85.533	85.769	85.763	87.187	84.429	85.492	85.534	84.802	85.548	85.161	85.032	190	86.007	83.844	87.187	84.429		2.16300000000001	2.758
200	84.705	83.9	83.869	84.786	84.937	84.304	84.407	85.366	85.28	86.029	85.51	85.8	85.76	87.24	84.571	85.433	85.772	84.884	85.637	85.215	85.147	200	86.029	83.869	87.24	84.571		2.16	2.669
212	84.733	83.924	84.099	84.752	84.959	84.056	83.996	85.729	85.439	86.146	85.502	85.982	85.882	87.138	84.64	85.547	85.916	84.93	85.647	85.138	85.284	212	86.146	83.924	87.138	84.64		2.22199999999999	2.49800000000001
224	84.812	84.021	84.101	84.756	84.958	84.461	84.155	85.456	85.491	86.244	85.51	86.019	85.798	87.221	84.695	85.485	85.945	85.001	85.753	85.287	85.336	224	86.244	84.021	87.221	84.695		2.223	2.52600000000001
236	84.787	84.02	84.155	84.913	84.92	84.473	84.235	85.639	85.503	86.226	85.691	86.119	86.051	87.319	84.635	85.541	85.823	85.164	85.831	85.424	85.125	236	86.226	84.02	87.319	84.635		2.206	2.684
250	84.764	84.171	84.057	84.734	84.902	84.49	84.178	85.771	85.535	86.196	85.698	86.11	86.036	87.292	84.708	85.62	85.756	85.121	85.833	85.451	85.175	250	86.196	84.057	87.292	84.708		2.139	2.584
265	84.723	84.211	84.324	84.757	84.957	84.443	84.205	85.998	85.52	86.246	85.732	86.226	85.97	87.261	84.707	85.684	85.761	84.954	85.965	85.484	85.292	265	86.246	84.205	87.261	84.707		2.041	2.554
280	84.819	84.097	84.228	84.923	84.996	84.471	84.292	85.905	85.577	86.188	85.608	86.158	86.063	87.124	84.835	85.557	85.904	85.259	86.094	85.466	85.23	280	86.188	84.097	87.124	84.835		2.09100000000001	2.289
300	84.833	84.203	83.97	84.822	84.924	84.463	84.22	86.036	85.64	86.286	85.652	86.305	85.947	87.097	84.553	85.473	85.857	85.066	85.917	85.387	85.207	300	86.286	83.97	87.097	84.553		2.316	2.544
315	84.835	84.106	83.936	84.752	84.827	84.477	84.136	85.745	85.669	86.323	85.403	86.337	86	87.059	84.561	85.444	85.835	85.13	85.938	85.519	85.252	315	86.323	83.936	87.059	84.561		2.38699999999999	2.49799999999999
335	84.837	84.132	84.151	84.692	84.89	84.475	84.118	85.9	85.728	86.252	85.367	86.398	85.999	86.923	84.553	85.48	85.801	85.058	85.908	85.404	85.1	335	86.252	84.118	86.923	84.553		2.134	2.37
355	84.768	83.97	83.956	84.674	84.841	84.476	84.029	86.264	85.715	86.119	85.196	86.333	85.978	86.941	84.644	85.463	85.737	85.026	85.9	85.351	85.111	355	86.264	83.956	86.941	84.644		2.30799999999999	2.297
375	84.651	83.971	84.113	84.684	84.741	84.437	84.042	86.105	85.656	86.195	85.325	86.384	85.912	86.905	84.451	85.438	85.645	84.935	85.997	85.376	85.076	375	86.195	83.971	86.905	84.451		2.22399999999999	2.45400000000001
400	84.861	84.007	84.027	84.697	84.654	84.494	83.953	86.092	85.696	86.105	85.201	86.348	85.764	86.784	84.525	85.372	85.601	84.93	85.861	85.229	84.986	400	86.105	83.953	86.784	84.525		2.152	2.259
425	84.582	83.849	84.003	84.446	84.634	84.38	83.911	86.13	85.668	86.058	85.263	86.398	85.816	86.747	84.576	85.325	85.525	84.78	85.729	85.241	84.942	425	86.13	83.849	86.747	84.576		2.28099999999999	2.17100000000001
450	84.554	83.898	84.11	84.504	84.538	84.422	83.865	85.921	85.66	86.101	85.244	86.376	85.744	86.665	84.422	85.268	85.538	84.682	85.793	85.154	84.879	450	86.101	83.865	86.665	84.422		2.236	2.24300000000001
