## SPL
Hz	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10			
〔bg=#FFFF00〕18.75	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕91.9494605707397	〔bg=#FFFF00〕91.8517211410141	〔bg=#FFFF00〕92.0289141515426	〔bg=#FFFF00〕92.1122435061213	〔bg=#FFFF00〕92.3730912457448	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕92.2253653593499	〔bg=#FFFF00〕92.4333475703213	〔bg=#FFFF00〕92.3087676129766	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕0.744901081867695
180.595851213235	118.355660352471	118.290609465043	118.051404343179	118.290400152863	118.311637050928	118.161978210016	118.260164473426	118.163198001529	118.196144213597	118.66237220895	118.66237220895	118.051404343179	0.610967865771414
182.882775970501	118.476815699935	118.408283158092	118.161457770484	118.400950158683	118.426066577268	118.276003230143	118.373615681817	118.279891567024	118.317809999592	118.770526402012	118.770526402012	118.161457770484	0.609068631528231
185.198660556082	118.581547640434	118.511870493619	118.264370814418	118.502228763688	118.532077304741	118.373378015068	118.471913632997	118.38403739402	118.424479460029	118.874465073991	118.874465073991	118.264370814418	0.610094259572136
187.543871694617	118.697266626557	118.626827862539	118.383866263633	118.618420545335	118.654594228647	118.482541332294	118.583286707288	118.499968227821	118.541721833917	118.998501262203	118.998501262203	118.383866263633	0.614634998570224
189.918780754657	118.823505485078	118.750819944227	118.516012319524	118.747724344073	118.788745157033	118.604560910003	118.708035749015	118.625051165511	118.661870482248	119.137163534085	119.137163534085	118.516012319524	0.621151214561479
192.323763807479	118.937393879538	118.863138765275	118.636815586987	118.866398735071	118.911596286787	118.722015285188	118.82487407758	118.738641829522	118.769912954446	119.263751909842	119.263751909842	118.636815586987	0.626936322855215
194.759201686629	119.067073676109	118.993057045031	118.775186444412	119.004475107503	119.052268264752	118.864378276586	118.96240250008	118.870765213178	118.895066882435	119.407631806455	119.407631806455	118.775186444412	0.632445362043327
197.225480048233	119.187781961002	119.117882065627	118.903781413557	119.135878237179	119.181120321411	118.997646689794	119.094920410648	118.999982050293	119.015718875996	119.53988593509	119.53988593509	118.903781413557	0.636104521533468
199.722989432065	119.295944177437	119.232095319291	119.016998629707	119.252430387122	119.293666626658	119.113931341934	119.212593302992	119.116914734388	119.127186093641	119.653845617869	119.653845617869	119.016998629707	0.636846988162176
202.252125323389	119.413859526245	119.357958511585	119.136173641499	119.37485341892	119.411580160065	119.235059886033	119.336126996129	119.242087518222	119.250372000028	119.770198227901	119.770198227901	119.136173641499	0.634024586401864
204.813288215585	119.524446383677	119.476139445615	119.242834843473	119.482613082322	119.517204645825	119.343468489406	119.445963952311	119.35552339851	119.365764672042	119.87302589276	119.87302589276	119.242834843473	0.630191049287433
207.406883673569	119.628729131996	119.583262042286	119.340354796418	119.579265681718	119.614035190205	119.442027194019	119.543915879621	119.457185025685	119.470362460256	119.96658295626	119.96658295626	119.340354796418	0.626228159841574
210.033322398015	119.74290164426	119.695330211508	119.446225450758	119.682345342193	119.719660178076	119.548468070496	119.646272233567	119.563175829512	119.579750882539	120.068174182324	120.068174182324	119.446225450758	0.621948731565652
212.693020290387	119.857420926401	119.805283702439	119.558740159992	119.791301906152	119.832515910256	119.661676560282	119.750505615905	119.670035361015	119.688900454952	120.179156992124	120.179156992124	119.558740159992	0.620416832132264
215.386398518803	119.967011644403	119.909689974455	119.67408186263	119.902032725124	119.946228026051	119.771179508842	119.856319026359	119.776145594087	119.794799242889	120.293195396134	120.293195396134	119.67408186263	0.61911353350412
218.113883584723	120.080982000207	120.017932957508	119.798560565715	120.021344217775	120.067903887361	119.88545684433	119.971221580624	119.889664868719	119.906956267152	120.416651274617	120.416651274617	119.798560565715	0.618090708902912
220.875907390489	120.201333634156	120.133689412108	119.930346827608	120.148792017579	120.196761012456	120.008299535425	120.095971279122	120.011312537403	120.027272536363	120.547364609004	120.547364609004	119.930346827608	0.617017781396044
223.672907307716	120.322183579049	120.250347446179	120.054228148309	120.271402308385	120.317722455401	120.129233648438	120.221012442448	120.132667345516	120.147153373495	120.670837232824	120.670837232824	120.054228148309	0.616609084514309
226.505326246554	120.439859905416	120.366922645818	120.169362081776	120.386489711365	120.429701959368	120.245915050458	120.341367720174	120.249383376289	120.264049477599	120.785531184258	120.785531184258	120.169362081776	0.616169102482445
229.373612725818	120.5560942073	120.484129481544	120.277752030384	120.497318751848	120.536481026001	120.35989652449	120.457219306386	120.363187671649	120.379755981035	120.894326434176	120.894326434176	120.277752030384	0.616574403792484
232.278220944016	120.668902107488	120.599216834255	120.379395364455	120.603853149231	120.637902967823	120.468628347619	120.566708911423	120.472212058395	120.491331352284	120.996556887823	120.996556887823	120.379395364455	0.617161523367642
235.219610851271	120.775710320335	120.709317933209	120.478972027173	120.707617284026	120.737933227299	120.572167615801	120.671207952886	120.576539913956	120.598688115559	121.096654015005	121.096654015005	120.478972027173	0.617681987832242
238.198248222155	120.878684996606	120.816414921684	120.581510806162	120.812974805511	120.84291490503	120.674794404793	120.7761239633	120.681624881321	120.7039098148	121.202032016803	121.202032016803	120.581510806162	0.620521210641058
