"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShift"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26A"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26B"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24A"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2AB"
"JSON","TIA-338-RA.json","TWS","7","338-RA-BK-L","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24A"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24B"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23A"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2AA"
"JSON","TIA-338-RA.json","TWS","8","338-RA-BK-R","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2BA"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26A"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26B"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24A"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2AB"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","10","338-RA-WH-R","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","10","338-RA-WH-R","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","10","338-RA-WH-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24A"
