"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShiftCount","LineShifts"
"JSON","TIU-C11-18-E2.json","UNIT","0","C11-18","TIU-C11-18-R-ZZ","2","TIU-C11-18-R-ZZ_E22A | TIU-C11-18-R-ZZ_E22B"
"JSON","TIU-C11-18-E2.json","UNIT","1","C11-18-L","TIU-C11-18-L-ZZ","2","TIU-C11-18-L-ZZ_E21A | TIU-C11-18-L-ZZ_E21B"
"JSON","TIU-C11-18-E2.json","UNIT","2","C11-18-R","TIU-C11-18-R-ZZ","2","TIU-C11-18-R-ZZ_E22A | TIU-C11-18-R-ZZ_E22B"
"JSON","TIU-C11-20-A2.json","UNIT","0","C1120-A2","TIU-C11-20-L-ZZ","2","TIU-C11-20-L-ZZ_A21A | TIU-C11-20-L-ZZ_A21B"
"JSON","TIU-C11-20-A2.json","UNIT","0","C1120-A2","TIU-C11-20-R-ZZ","2","TIU-C11-20-R-ZZ_A21A | TIU-C11-20-R-ZZ_A21B"
"JSON","TIU-C11-20-A2.json","UNIT","1","C1120-L-A2","TIU-C11-20-L-ZZ","2","TIU-C11-20-L-ZZ_A21A | TIU-C11-20-L-ZZ_A21B"
"JSON","TIU-C11-20-A2.json","UNIT","2","C1120-R-A2","TIU-C11-20-R-ZZ","2","TIU-C11-20-R-ZZ_A21A | TIU-C11-20-R-ZZ_A21B"
"JSON","TIU-C11-20-A2.json","UNIT","3","C1120-L-A21A","TIU-C11-20-L-ZZ","1","TIU-C11-20-L-ZZ_A21A"
"JSON","TIU-C11-20-A2.json","UNIT","4","C1120-L-A21B","TIU-C11-20-L-ZZ","1","TIU-C11-20-L-ZZ_A21B"
"JSON","TIU-C11-20-A2.json","UNIT","5","C1120-R-A21A","TIU-C11-20-R-ZZ","1","TIU-C11-20-R-ZZ_A21A"
"JSON","TIU-C11-20-A2.json","UNIT","6","C1120-R-A21B","TIU-C11-20-R-ZZ","1","TIU-C11-20-R-ZZ_A21B"
"JSON","TIU-C11-20-D3.json","UNIT","0","C1120-D3","TIU-C11-20-L-ZZ","2","TIU-C11-20-L-ZZ_D31A | TIU-C11-20-L-ZZ_D31B"
"JSON","TIU-C11-20-D3.json","UNIT","0","C1120-D3","TIU-C11-20-R-ZZ","2","TIU-C11-20-R-ZZ_D32A | TIU-C11-20-R-ZZ_D32B"
"JSON","TIU-C11-20-D3.json","UNIT","1","C1120-D3-L","TIU-C11-20-L-ZZ","2","TIU-C11-20-L-ZZ_D31A | TIU-C11-20-L-ZZ_D31B"
"JSON","TIU-C11-20-D3.json","UNIT","2","C1120-D3-R","TIU-C11-20-R-ZZ","2","TIU-C11-20-R-ZZ_D32A | TIU-C11-20-R-ZZ_D32B"
"JSON","TIU-C11-20-D3.json","UNIT","3","C1120-L-D31A","TIU-C11-20-L-ZZ","1","TIU-C11-20-L-ZZ_D31A"
"JSON","TIU-C11-20-D3.json","UNIT","4","C1120-L-D31B","TIU-C11-20-L-ZZ","1","TIU-C11-20-L-ZZ_D31B"
"JSON","TIU-C11-20-D3.json","UNIT","5","C1120-R-D32A","TIU-C11-20-R-ZZ","1","TIU-C11-20-R-ZZ_D32A"
"JSON","TIU-C11-20-D3.json","UNIT","6","C1120-R-D32B","TIU-C11-20-R-ZZ","1","TIU-C11-20-R-ZZ_D32B"
"JSON","TIU-L5S3-01-A2.json","UNIT","0","L5S3-A2","TIU-L5S3-01-L-ZZ","2","TIU-L5S3-01-L-ZZ_A22A | TIU-L5S3-01-L-ZZ_A22B"
"JSON","TIU-L5S3-01-A2.json","UNIT","0","L5S3-A2","TIU-L5S3-01-R-ZZ","2","TIU-L5S3-01-R-ZZ_A23A | TIU-L5S3-01-R-ZZ_A23B"
"JSON","TIU-L5S3-01-A2.json","UNIT","1","L5S3-L-A2","TIU-L5S3-01-L-ZZ","2","TIU-L5S3-01-L-ZZ_A22A | TIU-L5S3-01-L-ZZ_A22B"
"JSON","TIU-L5S3-01-A2.json","UNIT","2","L5S3-R-A2","TIU-L5S3-01-R-ZZ","2","TIU-L5S3-01-R-ZZ_A23A | TIU-L5S3-01-R-ZZ_A23B"
"JSON","TIU-L5S3-01-A2.json","UNIT","3","L5S3-L-A22A","TIU-L5S3-01-L-ZZ","1","TIU-L5S3-01-L-ZZ_A22A"
"JSON","TIU-L5S3-01-A2.json","UNIT","4","L5S3-L-A22B","TIU-L5S3-01-L-ZZ","1","TIU-L5S3-01-L-ZZ_A22B"
"JSON","TIU-L5S3-01-A2.json","UNIT","5","L5S3-R-A23A","TIU-L5S3-01-R-ZZ","1","TIU-L5S3-01-R-ZZ_A23A"
"JSON","TIU-L5S3-01-A2.json","UNIT","6","L5S3-R-A23B","TIU-L5S3-01-R-ZZ","1","TIU-L5S3-01-R-ZZ_A23B"
"JSON","TIU-L5S3-01-D3.json","UNIT","0","L5S3-D3","TIU-L5S3-01-L-ZZ","2","TIU-L5S3-01-L-ZZ_D33A | TIU-L5S3-01-L-ZZ_D33B"
"JSON","TIU-L5S3-01-D3.json","UNIT","0","L5S3-D3","TIU-L5S3-01-R-ZZ","2","TIU-L5S3-01-R-ZZ_D34A | TIU-L5S3-01-R-ZZ_D34B"
"JSON","TIU-L5S3-01-D3.json","UNIT","1","L5S3-D3-L","TIU-L5S3-01-L-ZZ","2","TIU-L5S3-01-L-ZZ_D33A | TIU-L5S3-01-L-ZZ_D33B"
"JSON","TIU-L5S3-01-D3.json","UNIT","2","L5S3-D3-R","TIU-L5S3-01-R-ZZ","2","TIU-L5S3-01-R-ZZ_D34A | TIU-L5S3-01-R-ZZ_D34B"
"JSON","TIU-L5S3-01-D3.json","UNIT","3","L5S3-D3-L-D33A","TIU-L5S3-01-L-ZZ","1","TIU-L5S3-01-L-ZZ_D33A"
"JSON","TIU-L5S3-01-D3.json","UNIT","4","L5S3-D3-L-D33B","TIU-L5S3-01-L-ZZ","1","TIU-L5S3-01-L-ZZ_D33B"
"JSON","TIU-L5S3-01-D3.json","UNIT","5","L5S3-D3-R-D34A","TIU-L5S3-01-R-ZZ","1","TIU-L5S3-01-R-ZZ_D34A"
"JSON","TIU-L5S3-01-D3.json","UNIT","6","L5S3-D3-R-D34B","TIU-L5S3-01-R-ZZ","1","TIU-L5S3-01-R-ZZ_D34B"
"JSON","X526626.json","MODULE","0","X526/626","MSM-X526B-BOTTOM","2","MSM-X526B-BOTTOM_B21A | MSM-X526B-BOTTOM_B21B"
"JSON","X526626.json","MODULE","0","X526/626","MSM-X526B-TOP","4","MSM-X526B-TOP_B23A | MSM-X526B-TOP_B23B | MSM-X526B-TOP_B24A | MSM-X526B-TOP_B24B"
"JSON","X526626.json","MODULE","0","X526/626","MSM-X626B-BOTTOM","1","MSM-X626B-BOTTOM_B23A"
